Year,Series,flokkur,eind,Value
2019,Løgting,Framsókn,Partur av sætum hjá kvinnum,0.0
2019,Løgting,Framsókn,Tal av sætum hjá kvinnum,0.0
2019,Løgting,Framsókn,Tal av sætum,2.0
2020,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2020,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2020,Løgting,Framsókn,Tal av sætum,
2022,Løgting,Framsókn,Partur av sætum hjá kvinnum,33.3
2022,Løgting,Framsókn,Tal av sætum hjá kvinnum,1.0
2022,Løgting,Framsókn,Tal av sætum,3.0
1984,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,0.0
1984,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,0.0
1984,Løgting,Javnaðarflokkurin,Tal av sætum,8.0
1988,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,14.3
1988,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,1.0
1988,Løgting,Javnaðarflokkurin,Tal av sætum,7.0
1990,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,10.0
1990,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,1.0
1990,Løgting,Javnaðarflokkurin,Tal av sætum,10.0
1992,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
1992,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
1992,Løgting,Javnaðarflokkurin,Tal av sætum,
1994,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,20.0
1994,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,1.0
1994,Løgting,Javnaðarflokkurin,Tal av sætum,5.0
1996,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
1996,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
1996,Løgting,Javnaðarflokkurin,Tal av sætum,
1998,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,14.3
1998,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,1.0
1998,Løgting,Javnaðarflokkurin,Tal av sætum,7.0
2000,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2000,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2000,Løgting,Javnaðarflokkurin,Tal av sætum,
2002,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,14.3
2002,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,1.0
2002,Løgting,Javnaðarflokkurin,Tal av sætum,7.0
2004,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,0.0
2004,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,0.0
2004,Løgting,Javnaðarflokkurin,Tal av sætum,7.0
2008,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,33.3
2008,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,2.0
2008,Løgting,Javnaðarflokkurin,Tal av sætum,6.0
2011,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,33.3
2011,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,2.0
2011,Løgting,Javnaðarflokkurin,Tal av sætum,6.0
2012,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2012,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2012,Løgting,Javnaðarflokkurin,Tal av sætum,
2015,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,37.5
2015,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,3.0
2015,Løgting,Javnaðarflokkurin,Tal av sætum,8.0
2016,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2016,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2016,Løgting,Javnaðarflokkurin,Tal av sætum,
2019,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,14.3
2019,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,1.0
2019,Løgting,Javnaðarflokkurin,Tal av sætum,7.0
2020,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2020,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2020,Løgting,Javnaðarflokkurin,Tal av sætum,
2022,Løgting,Javnaðarflokkurin,Partur av sætum hjá kvinnum,33.3
2022,Løgting,Javnaðarflokkurin,Tal av sætum hjá kvinnum,3.0
2022,Løgting,Javnaðarflokkurin,Tal av sætum,9.0
1984,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1984,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1984,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
1988,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1988,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1988,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,2.0
1990,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1990,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1990,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,2.0
1992,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1992,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1992,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
1994,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1994,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1994,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,2.0
1996,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1996,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1996,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
1998,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1998,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1998,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2000,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2000,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2000,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2002,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2002,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2002,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2004,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2004,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2004,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2008,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2008,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2008,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2011,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2011,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2011,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2012,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2012,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2012,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2015,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2015,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2015,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2016,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2016,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2016,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2019,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2019,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2019,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2020,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2020,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2020,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
2022,Løgting,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2022,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2022,Løgting,Kristiligi Fólkaflokkurin,Tal av sætum,
1984,Løgting,Miðflokkurin,Partur av sætum hjá kvinnum,
1984,Løgting,Miðflokkurin,Tal av sætum hjá kvinnum,
1984,Løgting,Miðflokkurin,Tal av sætum,
