Year,Series,source,Units,Main source,Value
2020,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.1855299820295
2021,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.1928290093225
1990,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.06253914071565
1991,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.07384905355125
1992,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.043721001765
1993,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.03969763452
1994,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.038768034555
1995,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.03220301898
1996,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.038301975075
1997,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.038049228105
1998,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.0545321715
1999,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.053016662445
2000,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.05983688826
2001,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.06907568484
2002,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.06820554825
2003,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.078875361255
2004,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.07415015961
2005,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.065982257355
2006,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.06029952882
2007,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.061171904745
2008,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.05620738158
2009,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.043329031035
2010,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.04375500066
2011,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.04339047174
2012,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.048901583076
2013,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.049824989682
2014,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.060787479366
2015,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.063252240597
2016,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.064846592931
2017,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.0856012244325
2018,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.081812712693
2019,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.079782782148
2020,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.085318415931
2021,Carbon dioxide emissions from fuel combustion, - - Manufacturing industries and construction,million tonnes,,0.0675467873025
1990,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.104706602352806
1991,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.102835449697431
1992,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.113847603845702
1993,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.09934865640815
1994,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.090851411336
1995,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.0978491428384
1996,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.0931278083925
1997,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.10240660792805
1998,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.09563615414405
1999,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.0977985222848
2000,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.09920080678415
2001,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.112697252658
2002,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.11719925776
2003,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.112887523804
2004,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.118573263096
2005,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.124653204136
2006,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.11974667788
2007,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.138906262514
2008,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.142791899042
2009,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.13761590422
2010,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.13294381649
2011,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.13661417121
2012,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.13247992916
2013,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.12495354328
2014,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.12952569183
2015,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.12740415497
2016,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.1473393891
2017,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.15024302162
2018,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.15927373909
2019,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.168582067
2020,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.16794943687
2021,Carbon dioxide emissions from fuel combustion, - - Transport,million tonnes,,0.17080696137
1990,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.40432629312
1991,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.37909602459
1992,Carbon dioxide emissions from fuel combustion, - - Other sectors,million tonnes,,0.3881552607
