Year,countrygroup,Units,Series,Value
2021,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2022,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2022,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2022,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
2022,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1988,Developing countries excluding China,DKK mill.,Faroese merchandise import,51.6994
1988,Developing countries excluding China,DKK mill.,Faroese merchandise export,92.2814
1988,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,1.60522794967164
1988,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,3.93581729623007
1989,Developing countries excluding China,DKK mill.,Faroese merchandise import,41.3804
1989,Developing countries excluding China,DKK mill.,Faroese merchandise export,23.0665
1989,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,1.63539966599913
1989,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.911640274687631
1990,Developing countries excluding China,DKK mill.,Faroese merchandise import,29.7868
1990,Developing countries excluding China,DKK mill.,Faroese merchandise export,9.6577
1990,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,1.42916727021365
1990,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.374552664620874
1991,Developing countries excluding China,DKK mill.,Faroese merchandise import,28.8319
1991,Developing countries excluding China,DKK mill.,Faroese merchandise export,18.7134
1991,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,1.48908997136363
1991,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.672812512628672
1992,Developing countries excluding China,DKK mill.,Faroese merchandise import,48.3193
1992,Developing countries excluding China,DKK mill.,Faroese merchandise export,22.6652
1992,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,2.41371011201336
1992,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.85894353946571
1993,Developing countries excluding China,DKK mill.,Faroese merchandise import,34.9217
1993,Developing countries excluding China,DKK mill.,Faroese merchandise export,37.7538
1993,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,2.44874178174036
1993,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.77046270688178
1994,Developing countries excluding China,DKK mill.,Faroese merchandise import,48.7556
1994,Developing countries excluding China,DKK mill.,Faroese merchandise export,7.4311
1994,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,3.1130896097132
1994,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.357895558128469
1995,Developing countries excluding China,DKK mill.,Faroese merchandise import,45.3092
1995,Developing countries excluding China,DKK mill.,Faroese merchandise export,10.4663
1995,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,2.52735642496193
1995,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.516530526493664
1996,Developing countries excluding China,DKK mill.,Faroese merchandise import,64.0439
1996,Developing countries excluding China,DKK mill.,Faroese merchandise export,86.4038
1996,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,2.97865235351065
1996,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,3.56468452382303
1997,Developing countries excluding China,DKK mill.,Faroese merchandise import,68.1082
1997,Developing countries excluding China,DKK mill.,Faroese merchandise export,47.6924
1997,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,2.87394997414179
1997,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.85214218066204
1998,Developing countries excluding China,DKK mill.,Faroese merchandise import,194.6123
1998,Developing countries excluding China,DKK mill.,Faroese merchandise export,34.0253
1998,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,7.47803638561005
1998,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,1.15961795006642
1999,Developing countries excluding China,DKK mill.,Faroese merchandise import,192.8606
1999,Developing countries excluding China,DKK mill.,Faroese merchandise export,20.2699
1999,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,5.84198294083283
1999,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.619824178833643
2000,Developing countries excluding China,DKK mill.,Faroese merchandise import,336.9466
2000,Developing countries excluding China,DKK mill.,Faroese merchandise export,20.1666
2000,Developing countries excluding China,Per cent of total trade,Faroese merchandise import,7.81844666652946
2000,Developing countries excluding China,Per cent of total trade,Faroese merchandise export,0.526258942332415
2001,Developing countries excluding China,DKK mill.,Faroese merchandise import,142.9336
