Year,Series,region,sex,age,Units,GeoCode,Value
2021,SI_POV_NAHC,4200,M,,PCT,4200,2.1
2022,SI_POV_NAHC,4200,M,,PCT,4200,1.7
2009,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,3.3
2010,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.9
2011,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.0
2012,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.5
2013,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.5
2014,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.7
2015,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.4
2016,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.2
2017,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.7
2018,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,4.0
2019,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,3.6
2020,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,3.0
2021,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,2.7
2022,SI_POV_NAHC,4200,M,Y0-17,PCT,4200,2.2
2009,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,4.3
2010,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,5.8
2011,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,3.9
2012,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,3.9
2013,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,4.5
2014,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,2.4
2015,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,5.0
2016,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,4.1
2017,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,2.9
2018,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,4.9
2019,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,4.3
2020,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,2.2
2021,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,3.9
2022,SI_POV_NAHC,4200,M,Y18-24,PCT,4200,1.4
2009,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,3.1
2010,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,3.6
2011,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,3.0
2012,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,4.0
2013,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,3.2
2014,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.4
2015,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.7
2016,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.7
2017,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.7
2018,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.5
2019,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.2
2020,SI_POV_NAHC,4200,M,Y25-54,PCT,4200,2.2
