Year,Units,material type,Value
2018,data.domesticmaterialconsumptionperunitofgdp,data.biomass,20.4
2018,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,2.4
2018,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,38.1
2018,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,14.9
2019,data.domesticmaterialconsumption,data.total,1557.7
2019,data.domesticmaterialconsumption,data.biomass,374.5
2019,data.domesticmaterialconsumption,data.metallicminerals,26.2
2019,data.domesticmaterialconsumption,data.non-metallicminerals,872.6
2019,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,284.4
2019,data.domesticmaterialconsumptionpercapita,data.total,30.1
2019,data.domesticmaterialconsumptionpercapita,data.biomass,7.2
2019,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.5
2019,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,16.9
2019,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.5
2019,data.domesticmaterialconsumptionperunitofgdp,data.total,71.4
2019,data.domesticmaterialconsumptionperunitofgdp,data.biomass,17.2
2019,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,1.2
2019,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,40.0
2019,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,13.0
2020,data.domesticmaterialconsumption,data.total,1788.9
2020,data.domesticmaterialconsumption,data.biomass,415.6
2020,data.domesticmaterialconsumption,data.metallicminerals,24.1
2020,data.domesticmaterialconsumption,data.non-metallicminerals,1042.0
2020,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,307.3
2020,data.domesticmaterialconsumptionpercapita,data.total,34.1
2020,data.domesticmaterialconsumptionpercapita,data.biomass,7.9
2020,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.5
2020,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,19.8
2020,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.9
2020,data.domesticmaterialconsumptionperunitofgdp,data.total,84.4
2020,data.domesticmaterialconsumptionperunitofgdp,data.biomass,19.6
2020,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,1.1
2020,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,49.1
2020,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,14.5
