Year,slag av tilfari,Units,Series,Slag av tilfari,Value
2004,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,6.6865
2004,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.138662214987091
2004,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.647088994696706
2004,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,409.0415
2004,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,8.48255446222121
2004,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,39.585172066736305
2004,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,222.0344
2004,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.60446896094066
2004,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,21.4874772577711
2005,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1237.509
2005,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,25.6696674894729
2005,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,117.266085473325
2005,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,475.0506
2005,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,9.8539816216889
2005,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,45.015692220221695
2005,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,4.0854
2005,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.084743512622125
2005,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.387131621339903
2005,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,533.0565
2005,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,11.0571988632828
2005,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,50.5123187719132
2005,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,219.275
2005,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.54842456802672
2005,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,20.7784516251303
2006,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1407.4273
2006,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,29.2048867538881
2006,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,117.298315650862
2006,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,547.211
2006,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,11.354927736219
2006,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,45.6058573012076
2006,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,2.5427
2006,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.052762416608738
2006,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.211914624084276
2006,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,621.2018
2006,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,12.8902773310646
2006,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,51.7724253460792
2006,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,229.8056
2006,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.76859197161325
2006,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,19.1525415253319
2007,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1662.5498
2007,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,34.433440341321
2007,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,130.571181741787
2007,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,510.9539
2007,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,10.5824803761158
2007,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,40.1286352676924
2007,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,2.4685
2007,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.05112565499244
2007,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.193867854141633
2007,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,894.1935
2007,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,18.5198413520287
2007,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,70.22701034328391
2007,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,247.4982
2007,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,5.12599051425968
2007,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,19.4376929057795
2008,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1561.195
2008,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,32.2198144651168
2008,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,122.989750821274
2008,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,456.164
2008,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,9.41427524791299
2008,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,35.9362518414647
2008,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,0.088
2008,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.001816136788121
2008,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.006932572851099
2008,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,891.2596
2008,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,18.3937425832482
2008,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,70.2127512072918
2008,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,204.9187
2008,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.22909533686242
2008,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,16.1433388216202
2009,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,926.8357
2009,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,19.0919066452437
2009,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,75.29801200757181
2009,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,298.3463
2009,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,6.14564124747662
2009,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,24.2382584958851
2009,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,-1.5869
2009,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,-0.0326885840234
2009,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,-0.128922974433134
2009,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,402.9478
2009,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,8.30032958431179
2009,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,32.7362965009059
2009,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,219.035
2009,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.5119062332633
2009,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,17.7948476305762
2010,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,831.0762
2010,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,17.1497358646306
2010,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,63.372237727044
2010,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,343.9836
2010,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,7.09829962855964
2010,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,26.2298577114883
2010,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,-3.2023
2010,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,-0.066081304168386
2010,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,-0.24418569184548
2010,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,262.1346
