Year,Units,Slag av tilfari,Value
2007,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.3
2007,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,123.3
2007,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,40.2
2007,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.2
2007,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,70.4
2007,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,12.5
2008,Innlendis tilfarsnýtsla (1.000 tons),,1496.3
2008,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,456.2
2008,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,0.1
2008,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,891.3
2008,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,148.8
2008,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,30.9
2008,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,9.4
2008,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.0
2008,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,18.4
2008,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.1
2008,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,117.9
2008,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,36.0
2008,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.0
2008,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,70.3
2008,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,11.7
2009,Innlendis tilfarsnýtsla (1.000 tons),,830.0
2009,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,298.3
2009,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,-1.6
2009,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,402.9
2009,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,130.3
