Year,Units,Series,orkukelda,Orkukelda,Value
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,1238.96184469031
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,812.739116947575
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,420.01861234619
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,6.20411539654638
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2015,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,1220.44100485228
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,804.6188809041209
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,415.82212394816
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2016,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,1205.70388349515
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,794.9029126213591
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,410.800970873786
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2017,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2018,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,1118.3160415004
2018,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,792.098962490024
