Year,data.measure,Value
2013,data.annualgrowthofhouseholdsandNPISHs,1.5
2013,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,2.9
2013,data.annualgrowthofexportsofgoodsandservices,13.4
2013,data.annualgrowthofimportsofgoodsandservices,-2.5
2013,data.annualinflationconsumerprices,-0.6
2013,data.totalunemploymentoutoftotallabourforce,4.0
2014,data.merchandisetrade,76.7
2014,data.personalremittances,6.3
2014,data.currentaccountbalance,9.4
2014,data.foreigndirectinvestment,..
2014,data.portfolioinvestment,..
2014,data.reservesinmonthsofimports,..
2014,data.debtservice,..
2014,data.externaldebtstocks,131.8
2014,data.DECalternativeconversionfactor,561.9
2014,data.annualbroadmoneygrowth,..
2014,data.broadmoney,..
2014,data.banknonperformingloans,..
2014,data.bankcapitaltoassetsratio,..
2014,data.taxrevenuegdp,39.8
2014,data.cashsurplusdeficit,9.4
2014,data.grossPSD,..
2014,data.annualGDPgrowth,8.3
2014,data.annualgrowthofthegrosscapitalformation,9.7
2014,data.annualgrowthofhouseholdsandNPISHs,2.8
2014,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,2.8
2014,data.annualgrowthofexportsofgoodsandservices,4.3
2014,data.annualgrowthofimportsofgoodsandservices,-2.6
2014,data.annualinflationconsumerprices,-1.0
2014,data.totalunemploymentoutoftotallabourforce,3.2
2015,data.merchandisetrade,75.7
2015,data.personalremittances,6.0
2015,data.currentaccountbalance,8.5
2015,data.foreigndirectinvestment,..
2015,data.portfolioinvestment,..
2015,data.reservesinmonthsofimports,..
2015,data.debtservice,..
2015,data.externaldebtstocks,133.8
2015,data.DECalternativeconversionfactor,672.7
2015,data.annualbroadmoneygrowth,..
2015,data.broadmoney,..
2015,data.banknonperformingloans,..
2015,data.bankcapitaltoassetsratio,..
2015,data.taxrevenuegdp,40.8
2015,data.cashsurplusdeficit,8.5
2015,data.grossPSD,..
2015,data.annualGDPgrowth,5.9
2015,data.annualgrowthofthegrosscapitalformation,17.1
2015,data.annualgrowthofhouseholdsandNPISHs,2.3
