Year,Series,energy source,Units,Energy source,Value
2015,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,6.203922947277
2015,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2016,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1220.42851147031
2016,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,804.6106442003539
2016,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,415.817867269954
2016,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2016,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2016,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2017,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1205.67949677393
2017,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,794.886834813212
2017,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,410.792661960721
2017,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2017,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2017,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2018,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1118.26026235722
2018,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,792.0594543368751
2018,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,326.20080802035
2018,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2018,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2018,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2019,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1036.35398438882
2019,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,780.5587778455
2019,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,250.683234698492
2019,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,5.11197184483199
2019,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2019,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2020,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1150.09482525061
2020,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,768.2780508572979
2020,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,368.657351859736
2020,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,5.03154390989666
2020,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,1.9352091961141
2020,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,6.19266942756512
2021,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1224.65314834578
2021,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,756.593992986736
2021,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,428.800121969812
2021,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,4.95502363165117
2021,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,1.90577831986583
2021,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,32.3982314377192
2022,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1200.50815159856
2022,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,741.6771493691699
2022,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,420.345991456078
2022,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,4.8573314568258
2022,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,1.86820440647146
2022,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,31.7594749100148
2000,,,,,704.8
2000,,,,Hydro,701.4
2000,,,,Wind,3.3
2000,,,,Solar,0.0
2000,,,,Ocean,0.0
2000,,,,Biofuel,0.0
2001,,,,,694.2
2001,,,,Hydro,690.9
2001,,,,Wind,3.3
2001,,,,Solar,0.0
2001,,,,Ocean,0.0
2001,,,,Biofuel,0.0
2002,,,,,682.3
2002,,,,Hydro,679.1
2002,,,,Wind,3.2
2002,,,,Solar,0.0
2002,,,,Ocean,0.0
2002,,,,Biofuel,0.0
2003,,,,,713.2
2003,,,,Hydro,668.2
2003,,,,Wind,45.0
2003,,,,Solar,0.0
2003,,,,Ocean,0.0
2003,,,,Biofuel,0.0
2004,,,,,704.2
2004,,,,Hydro,659.7
2004,,,,Wind,44.5
2004,,,,Solar,0.0
2004,,,,Ocean,0.0
2004,,,,Biofuel,0.0
2005,,,,,740.5
2005,,,,Hydro,655.3
2005,,,,Wind,85.2
2005,,,,Solar,0.0
2005,,,,Ocean,0.0
2005,,,,Biofuel,0.0
2006,,,,,740.7
2006,,,,Hydro,655.5
2006,,,,Wind,85.3
2006,,,,Solar,0.0
2006,,,,Ocean,0.0
2006,,,,Biofuel,0.0
2007,,,,,741.0
