Year,Series,indicator,Units,Value
2013,Metallic minerals,Domestic material consumption,"1,000 tonnes",4.9422
2013,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.102800802903766
2013,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.328680211485386
2013,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",444.5531
2013,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",9.24697819055444
2013,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",29.5649319988029
2013,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",251.9997
2013,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.24174891576791
2013,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",16.7591992817478
2014,Total,Domestic material consumption,"1,000 tonnes",1407.1851
2014,Total,Domestic material consumption per capita,"1,000 tonnes",29.1005273389031
2014,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",86.4226290641544
2014,Biomass,Domestic material consumption,"1,000 tonnes",365.4217
2014,Biomass,Domestic material consumption per capita,"1,000 tonnes",7.55690503763752
2014,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",22.4424661909032
2014,Metallic minerals,Domestic material consumption,"1,000 tonnes",6.0619
2014,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.125359831251551
2014,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.372293122719959
2014,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",786.0841
2014,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",16.2561853751344
2014,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",48.2775539532998
2014,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",249.6174
2014,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.16207709487964
2014,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",15.3303157972314
2015,Total,Domestic material consumption,"1,000 tonnes",1132.6148
2015,Total,Domestic material consumption per capita,"1,000 tonnes",23.1881747177267
2015,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",65.713304362457
2015,Biomass,Domestic material consumption,"1,000 tonnes",404.2039
2015,Biomass,Domestic material consumption per capita,"1,000 tonnes",8.27532066046331
2015,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",23.4515511409458
2015,Metallic minerals,Domestic material consumption,"1,000 tonnes",2.0071
2015,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.041091627511798
2015,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.11645015868227
2015,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",463.2476
2015,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",9.48413025007933
2015,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",26.8772141543424
2015,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",263.1562
2015,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.38763217967223
2015,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",15.2680889084865
2016,Total,Domestic material consumption,"1,000 tonnes",1251.3512
2016,Total,Domestic material consumption per capita,"1,000 tonnes",25.3081980806763
2016,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",66.2739295077192
2016,Biomass,Domestic material consumption,"1,000 tonnes",304.8527
2016,Biomass,Domestic material consumption per capita,"1,000 tonnes",6.16555329713113
2016,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",16.1455763578106
2016,Metallic minerals,Domestic material consumption,"1,000 tonnes",18.6788
2016,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.377773058681957
2016,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.989264624102958
2016,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",675.0588
2016,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",13.6528592664503
2016,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",35.7523925535577
2016,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",252.7609
2016,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",5.11201245841297
2016,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",13.386695972248
2017,Total,Domestic material consumption,"1,000 tonnes",1524.6685
