Year,Series,sex,age,Units,Value
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.0
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,2.7
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,2.9
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,2.8
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,2.6
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.2
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.9
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.8
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.7
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,3.0
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.6
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.7
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.1
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.3
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.3
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,2.0
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,1.9
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,1.7
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,1.6
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,1.5
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,1.7
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 55 - 66,pct.,1.7
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.9
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.6
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.9
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.2
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.8
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.0
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.8
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.6
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,2.5
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.7
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.5
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.1
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.2
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.4
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 67 + ,pct.,1.5
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.7
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.9
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,4.1
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,4.5
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.4
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.4
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.1
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.1
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,3.0
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.8
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.4
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.2
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.5
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.4
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.4
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,,pct.,2.8
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,5.0
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,5.1
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,5.4
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,6.4
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,5.0
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,4.8
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,4.0
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,4.2
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,4.0
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,3.7
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,3.1
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,3.2
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,Age 0 - 17,pct.,3.4
