Year,material type,Units,Series,Value
2012,MF0,TON,EN_MAT_DOMCMPC,19.6166448394138
2012,MF0,TON,EN_MAT_DOMCMPG,67.11893737330631
2012,MF1,TON,EN_MAT_DOMCMPT,225.2743
2012,MF1,TON,EN_MAT_DOMCMPC,4.68297058517826
2012,MF1,TON,EN_MAT_DOMCMPG,16.0229240015648
2012,MF2,TON,EN_MAT_DOMCMPT,3.4374
2012,MF2,TON,EN_MAT_DOMCMPC,0.071456189585282
2012,MF2,TON,EN_MAT_DOMCMPG,0.244489491091433
2012,MF3,TON,EN_MAT_DOMCMPT,472.7322
2012,MF3,TON,EN_MAT_DOMCMPC,9.82709073900842
2012,MF3,TON,EN_MAT_DOMCMPG,33.6236850528113
2012,MF4,TON,EN_MAT_DOMCMPT,226.1572
2012,MF4,TON,EN_MAT_DOMCMPC,4.70132418667498
2012,MF4,TON,EN_MAT_DOMCMPG,16.0857213983428
2013,MF0,TON,EN_MAT_DOMCMPT,1090.1741
2013,MF0,TON,EN_MAT_DOMCMPC,22.6753491758099
2013,MF0,TON,EN_MAT_DOMCMPG,72.1563424562332
2013,MF1,TON,EN_MAT_DOMCMPT,342.8727
2013,MF1,TON,EN_MAT_DOMCMPC,7.13166658000104
2013,MF1,TON,EN_MAT_DOMCMPG,22.6940265413509
2013,MF2,TON,EN_MAT_DOMCMPT,4.9422
2013,MF2,TON,EN_MAT_DOMCMPC,0.102796526441683
2013,MF2,TON,EN_MAT_DOMCMPG,0.327113876294801
2013,MF3,TON,EN_MAT_DOMCMPT,444.5531
2013,MF3,TON,EN_MAT_DOMCMPC,9.24659352087775
2013,MF3,TON,EN_MAT_DOMCMPG,29.4240394479929
2013,MF4,TON,EN_MAT_DOMCMPT,276.7999
2013,MF4,TON,EN_MAT_DOMCMPC,5.75736883157402
2013,MF4,TON,EN_MAT_DOMCMPG,18.320806168713
2014,MF0,TON,EN_MAT_DOMCMPT,1468.9791
2014,MF0,TON,EN_MAT_DOMCMPC,30.3768541207854
2014,MF0,TON,EN_MAT_DOMCMPG,89.8194475016509
2014,MF1,TON,EN_MAT_DOMCMPT,365.4185
2014,MF1,TON,EN_MAT_DOMCMPC,7.55644819421611
2014,MF1,TON,EN_MAT_DOMCMPG,22.3431958813315
2014,MF2,TON,EN_MAT_DOMCMPT,6.0619
2014,MF2,TON,EN_MAT_DOMCMPC,0.12535335049681
2014,MF2,TON,EN_MAT_DOMCMPG,0.370649595225866
2014,MF3,TON,EN_MAT_DOMCMPT,786.0841
2014,MF3,TON,EN_MAT_DOMCMPC,16.2553449755472
2014,MF3,TON,EN_MAT_DOMCMPG,48.0644275686648
2014,MF4,TON,EN_MAT_DOMCMPT,289.6195
2014,MF4,TON,EN_MAT_DOMCMPC,5.98900917108678
2014,MF4,TON,EN_MAT_DOMCMPG,17.7085320517524
2015,MF0,TON,EN_MAT_DOMCMPT,1222.5278
2015,MF0,TON,EN_MAT_DOMCMPC,25.0282070179749
2015,MF0,TON,EN_MAT_DOMCMPG,70.5969740717214
2015,MF1,TON,EN_MAT_DOMCMPT,404.2025
2015,MF1,TON,EN_MAT_DOMCMPC,8.27503787413504
2015,MF1,TON,EN_MAT_DOMCMPG,23.3413697522666
2015,MF2,TON,EN_MAT_DOMCMPT,2.0071
2015,MF2,TON,EN_MAT_DOMCMPC,0.041090365638947
2015,MF2,TON,EN_MAT_DOMCMPG,0.115903447479356
2015,MF3,TON,EN_MAT_DOMCMPT,463.2476
2015,MF3,TON,EN_MAT_DOMCMPC,9.48383900421734
2015,MF3,TON,EN_MAT_DOMCMPG,26.7510307790033
2015,MF4,TON,EN_MAT_DOMCMPT,331.4725
2015,MF4,TON,EN_MAT_DOMCMPC,6.78607255455923
2015,MF4,TON,EN_MAT_DOMCMPG,19.1414505976786
2016,MF0,TON,EN_MAT_DOMCMPT,1356.829
2016,MF0,TON,EN_MAT_DOMCMPC,27.4428421180373
2016,MF0,TON,EN_MAT_DOMCMPG,71.645087706329
2016,MF1,TON,EN_MAT_DOMCMPT,304.8517
2016,MF1,TON,EN_MAT_DOMCMPC,6.16584482828365
2016,MF1,TON,EN_MAT_DOMCMPG,16.0971845265125
2016,MF2,TON,EN_MAT_DOMCMPT,18.6788
2016,MF2,TON,EN_MAT_DOMCMPC,0.377792160511306
2016,MF2,TON,EN_MAT_DOMCMPG,0.986302816529554
2016,MF3,TON,EN_MAT_DOMCMPT,675.0588
2016,MF3,TON,EN_MAT_DOMCMPC,13.6535496136888
2016,MF3,TON,EN_MAT_DOMCMPG,35.6453517229726
2016,MF4,TON,EN_MAT_DOMCMPT,332.6766
2016,MF4,TON,EN_MAT_DOMCMPC,6.72862343756321
2016,MF4,TON,EN_MAT_DOMCMPG,17.5664318678649
2017,MF0,TON,EN_MAT_DOMCMPT,1617.5489
2017,MF0,TON,EN_MAT_DOMCMPC,32.2722337496509
2017,MF0,TON,EN_MAT_DOMCMPG,82.205056665142
2017,MF1,TON,EN_MAT_DOMCMPT,442.697
2017,MF1,TON,EN_MAT_DOMCMPC,8.83238897091098
2017,MF1,TON,EN_MAT_DOMCMPG,22.4981958631905
2017,MF2,TON,EN_MAT_DOMCMPT,46.6164
2017,MF2,TON,EN_MAT_DOMCMPC,0.93005865687722
2017,MF2,TON,EN_MAT_DOMCMPG,2.3690806525385
2017,MF3,TON,EN_MAT_DOMCMPT,757.3569
2017,MF3,TON,EN_MAT_DOMCMPC,15.1102689437772
2017,MF3,TON,EN_MAT_DOMCMPG,38.4894496112212
2017,MF4,TON,EN_MAT_DOMCMPT,343.8069
2017,MF4,TON,EN_MAT_DOMCMPC,6.85940106141016
2017,MF4,TON,EN_MAT_DOMCMPG,17.4725262997408
2018,MF0,TON,EN_MAT_DOMCMPT,1579.5591
2018,MF0,TON,EN_MAT_DOMCMPC,31.0579175555708
2018,MF0,TON,EN_MAT_DOMCMPG,78.4492073425115
2018,MF1,TON,EN_MAT_DOMCMPT,408.9791
2018,MF1,TON,EN_MAT_DOMCMPC,8.04150928556682
2018,MF1,TON,EN_MAT_DOMCMPG,20.312051771063
2018,MF2,TON,EN_MAT_DOMCMPT,47.2689
2018,MF2,TON,EN_MAT_DOMCMPC,0.929419860986856
2018,MF2,TON,EN_MAT_DOMCMPG,2.34762202753442
2018,MF3,TON,EN_MAT_DOMCMPT,764.7759
2018,MF3,TON,EN_MAT_DOMCMPC,15.0373270937995
2018,MF3,TON,EN_MAT_DOMCMPG,37.98279098873591
2018,MF4,TON,EN_MAT_DOMCMPT,332.4918
2018,MF4,TON,EN_MAT_DOMCMPC,6.53758565431541
2018,MF4,TON,EN_MAT_DOMCMPG,16.513290422552
2019,MF0,TON,EN_MAT_DOMCMPT,1610.1241
2019,MF0,TON,EN_MAT_DOMCMPC,31.1619833751052
2019,MF0,TON,EN_MAT_DOMCMPG,73.9087412154067
2019,MF1,TON,EN_MAT_DOMCMPT,370.127
2019,MF1,TON,EN_MAT_DOMCMPC,7.16335555792102
2019,MF1,TON,EN_MAT_DOMCMPG,16.9897591495182
2019,MF2,TON,EN_MAT_DOMCMPT,26.1614
2019,MF2,TON,EN_MAT_DOMCMPC,0.506321911379054
2019,MF2,TON,EN_MAT_DOMCMPG,1.20087398383314
2019,MF3,TON,EN_MAT_DOMCMPT,872.5635
2019,MF3,TON,EN_MAT_DOMCMPC,16.887399723241
2019,MF3,TON,EN_MAT_DOMCMPG,40.05285674284951
2019,MF4,TON,EN_MAT_DOMCMPT,313.7954
2019,MF4,TON,EN_MAT_DOMCMPC,6.07312631242803
2019,MF4,TON,EN_MAT_DOMCMPG,14.4039971907662
2020,MF0,TON,EN_MAT_DOMCMPT,1888.3776
2020,MF0,TON,EN_MAT_DOMCMPC,35.9951507757996
2020,MF0,TON,EN_MAT_DOMCMPG,88.4867296446244
2020,MF1,TON,EN_MAT_DOMCMPT,421.429
2020,MF1,TON,EN_MAT_DOMCMPC,8.03303343372346
2020,MF1,TON,EN_MAT_DOMCMPG,19.7475727245464
2020,MF2,TON,EN_MAT_DOMCMPT,25.0863
2020,MF2,TON,EN_MAT_DOMCMPC,0.478180397239907
2020,MF2,TON,EN_MAT_DOMCMPG,1.17550888439046
2020,MF3,TON,EN_MAT_DOMCMPT,1041.9785
2020,MF3,TON,EN_MAT_DOMCMPC,19.8615855285731
2020,MF3,TON,EN_MAT_DOMCMPG,48.82565320887689
2020,MF4,TON,EN_MAT_DOMCMPT,364.1338
2020,MF4,TON,EN_MAT_DOMCMPC,6.94090579848271
2020,MF4,TON,EN_MAT_DOMCMPG,17.0627998950367
2021,MF0,TON,EN_MAT_DOMCMPT,1550.9498
2021,MF0,TON,EN_MAT_DOMCMPC,29.162510576688
2021,MF0,TON,EN_MAT_DOMCMPG,67.49187547324169
2021,MF1,TON,EN_MAT_DOMCMPT,290.1031
2021,MF1,TON,EN_MAT_DOMCMPC,5.45480886749525
2021,MF1,TON,EN_MAT_DOMCMPG,12.6242656594052
2021,MF2,TON,EN_MAT_DOMCMPT,25.7392
2021,MF2,TON,EN_MAT_DOMCMPC,0.483974202282684
2021,MF2,TON,EN_MAT_DOMCMPG,1.12007937405896
2021,MF3,TON,EN_MAT_DOMCMPT,858.1643
2021,MF3,TON,EN_MAT_DOMCMPC,16.1360641558393
2021,MF3,TON,EN_MAT_DOMCMPG,37.3442893323702
2021,MF4,TON,EN_MAT_DOMCMPT,339.6713
2021,MF4,TON,EN_MAT_DOMCMPC,6.38683977962883
2021,MF4,TON,EN_MAT_DOMCMPG,14.7812992280176
2022,MF0,TON,EN_MAT_DOMCMPT,1580.0357
2022,MF0,TON,EN_MAT_DOMCMPC,29.3695121611197
2022,MF0,TON,EN_MAT_DOMCMPG,62.7937708397086
2022,MF1,TON,EN_MAT_DOMCMPT,385.7958
2022,MF1,TON,EN_MAT_DOMCMPC,7.17112558900341
2022,MF1,TON,EN_MAT_DOMCMPG,15.3322947425315
2022,MF2,TON,EN_MAT_DOMCMPT,33.1761
2022,MF2,TON,EN_MAT_DOMCMPC,0.616673327323253
2022,MF2,TON,EN_MAT_DOMCMPG,1.31848439927987
2022,MF3,TON,EN_MAT_DOMCMPT,866.9694
2022,MF3,TON,EN_MAT_DOMCMPC,16.1151221688337
2022,MF3,TON,EN_MAT_DOMCMPG,34.4550935327852
2022,MF4,TON,EN_MAT_DOMCMPT,258.517
2022,MF4,TON,EN_MAT_DOMCMPC,4.80528267516752
2022,MF4,TON,EN_MAT_DOMCMPG,10.273981313314
2023,MF0,TON,EN_MAT_DOMCMPT,1552.5522
2023,MF0,TON,EN_MAT_DOMCMPC,28.6084541819455
2023,MF1,TON,EN_MAT_DOMCMPT,513.1369
2023,MF1,TON,EN_MAT_DOMCMPC,9.45543312019753
2023,MF2,TON,EN_MAT_DOMCMPT,27.296
2023,MF2,TON,EN_MAT_DOMCMPC,0.502975916268957
2023,MF3,TON,EN_MAT_DOMCMPT,713.9939
2023,MF3,TON,EN_MAT_DOMCMPC,13.1565700491994
2023,MF4,TON,EN_MAT_DOMCMPT,268.8829
2023,MF4,TON,EN_MAT_DOMCMPC,4.95463155761116
