Year,Slag av tilfari,Mát,Value
2014,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,48.3
2014,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,311.4
2014,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.4
2014,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,19.1
2015,Tilsamans,Innlendis tilfarsnýtsla,1222.5
2015,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,25.0
2015,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,70.9
2015,Biomassi,Innlendis tilfarsnýtsla,404.2
2015,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.3
2015,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,23.5
2015,Metalmálmur,Innlendis tilfarsnýtsla,2.0
2015,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.0
2015,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.1
2015,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,463.2
2015,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,9.5
2015,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,26.9
2015,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,353.1
2015,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.2
2015,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,20.5
2016,Tilsamans,Innlendis tilfarsnýtsla,1356.8
2016,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,27.4
2016,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,71.9
2016,Biomassi,Innlendis tilfarsnýtsla,304.9
2016,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.2
2016,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,16.1
2016,Metalmálmur,Innlendis tilfarsnýtsla,18.7
2016,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.4
2016,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.0
2016,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,675.1
2016,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,13.7
2016,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,35.8
2016,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,358.2
2016,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.2
2016,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,19.0
2017,Tilsamans,Innlendis tilfarsnýtsla,1617.6
2017,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,32.3
2017,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,82.5
2017,Biomassi,Innlendis tilfarsnýtsla,442.7
2017,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.8
2017,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,22.6
2017,Metalmálmur,Innlendis tilfarsnýtsla,46.6
2017,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.9
2017,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,2.4
2017,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,757.4
2017,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,15.1
