"Year","Units","material type","Value"
"2010","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.71
"2010","data.domesticmaterialconsumptionperunitofgdp","",63.37
"2010","data.domesticmaterialconsumptionperunitofgdp","data.biomass",26.23
"2010","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",-0.24
"2010","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",19.99
"2010","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",17.40
"2010","","",63.37
"2010","","data.biomass",26.23
"2010","","data.metallicminerals",-0.24
"2010","","data.non-metallicminerals",19.99
"2010","","data.fossilenergyandotherproducts",17.40
"2011","data.domesticmaterialconsumption","",935.44
"2011","data.domesticmaterialconsumption","data.biomass",359.57
"2011","data.domesticmaterialconsumption","data.metallicminerals",1.04
"2011","data.domesticmaterialconsumption","data.non-metallicminerals",366.40
"2011","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",208.43
"2011","data.domesticmaterialconsumptionpercapita","",19.37
"2011","data.domesticmaterialconsumptionpercapita","data.biomass",7.44
"2011","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.02
"2011","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",7.59
"2011","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.32
"2011","data.domesticmaterialconsumptionperunitofgdp","",69.54
"2011","data.domesticmaterialconsumptionperunitofgdp","data.biomass",26.73
"2011","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.08
"2011","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",27.24
"2011","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",15.49
"2011","","",68.78
"2011","","data.biomass",26.44
"2011","","data.metallicminerals",0.08
"2011","","data.non-metallicminerals",26.94
"2011","","data.fossilenergyandotherproducts",15.33
"2012","data.domesticmaterialconsumption","",943.66
"2012","data.domesticmaterialconsumption","data.biomass",225.28
"2012","data.domesticmaterialconsumption","data.metallicminerals",3.44
"2012","data.domesticmaterialconsumption","data.non-metallicminerals",472.73
"2012","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",242.21
"2012","data.domesticmaterialconsumptionpercapita","",19.62
